,Unnamed: 0,iteration,USS1,USS2,USS3,USS4,U1,U2,U3,U4,ESS,E,KF_X1,KF_X2,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30
41820,0,697,0.4078,0.1089,0.3888,0.2126,0.4078007985453967,0.1088319544088504,0.3887898497280089,0.2126167614749713,13.057264952551748,14.283916098030977,-0.0340883461041494,-0.0292119681907465,1.6379484189992082e-19,2.853617432053397e-13,3.569011352081876e-15,8.019827700709449e-15,2.7884367975344413e-13,6.732911911124834e-39,9.787463039908893e-19,2.55001558061782e-12,1.913438760350701e-06,1.1876071896964243e-14,2.2037841435545985e-14,5.3191993729612976e-14,6.5761950384168255e-15,3.7436829907041684e-13,2.1811211838562973e-09,0.0037999276164485,4.752558856649377e-05,0.0001067934489633,0.0037131319267446,8.965664991676475e-29,1.3033159484716685e-08,0.0339564600297216,0.0002547969011602,0.0001581438810588,0.0002934598076715,0.0007083140286316,8.756978022681439e-05,0.0049851547105839,0.0007730732177391,0.0010294380166826
41821,1,697,0.4078,0.1089,0.3888,0.2126,0.4077756899630447,0.1110782342498341,0.3891249407847563,0.2120626592327382,13.057264952551748,14.194003566493995,-0.0387604923766186,-0.0441113338104662,1.3040689057812491e-19,2.692845084354199e-13,3.370341642051508e-15,7.571895543264372e-15,2.631314728430558e-13,5.3604223470253656e-39,8.061029903354017e-19,2.3944594534486258e-12,1.805552647522805e-06,1.120482048767833e-14,2.0803867084358815e-14,5.0191285860894074e-14,6.1163592193447895e-15,3.481908587068029e-13,1.8529404550330015e-09,0.0038262407560031,4.788889872424553e-05,0.0001075884219859,0.0037388127947979,7.616578678345073e-29,1.1453849064982584e-08,0.0340226714214395,0.0002565494453134,0.0001592083445971,0.0002956003840812,0.0007131637266211,8.690682972958734e-05,0.0049474143989653,0.0007452686275136,0.0010589458759924
41822,2,697,0.4078,0.1089,0.3888,0.2126,0.4077658536914901,0.1116925589530257,0.3892165443492339,0.2119129757028006,13.057264952551748,14.035585884040456,-0.0314511542304012,-0.0496322705431506,1.0548583382831864e-19,2.6088849599172106e-13,3.267148697592502e-15,6.5512738246687184e-15,2.576585612573484e-13,4.4133757582288247e-39,2.4759732985688295e-17,2.3355131795593317e-12,1.765730037836723e-06,1.0926351445075407e-14,2.0706754319271772e-14,4.941093028649964e-14,5.8895331834469375e-15,3.3527815250840577e-13,1.573033082001284e-09,0.0038221266783304,4.786510893108239e-05,9.597884488139246e-05,0.0037748070621324,6.465773564662056e-29,3.62743124902369e-07,0.0342162562779045,0.0002586869270127,0.0001600756722022,0.0003033627574913,0.0007238910867242,8.628414534868346e-05,0.0049119663486326,0.0007321084777793,0.0010725698579985
41823,3,697,0.4078,0.1089,0.3888,0.2126,0.4077640312311891,0.11156703834293,0.3891977773861253,0.2119459538931155,13.057264952551748,13.889524340737488,-0.0217028617919943,-0.0502317492144542,2.611073108624214e-18,2.603079483537564e-13,2.8781901220777945e-15,5.8894068309766226e-15,2.59209529654422e-13,3.7375778371614406e-39,4.023826423720899e-17,2.3418583484933577e-12,1.7750843831120878e-06,1.0959773776047202e-14,2.1114236098265363e-14,4.994576229909592e-14,5.839398569312396e-15,3.324240989305391e-13,3.833341672915745e-08,0.0038216355067042,4.225531184460839e-05,8.646361490824554e-05,0.0038055093923739,5.487216278187082e-29,5.907463894552517e-07,0.0343813128775631,0.0002606038559287,0.0001609027341501,0.0003099825222985,0.0007332641967632,8.572943334274964e-05,0.0048803878159111,0.0007311603445939,0.001073431814756
41824,4,697,0.4078,0.1089,0.3888,0.2126,0.407765638368712,0.1112036096062069,0.3891435303404636,0.2120371369056022,13.057264952551748,13.772588581181347,-0.0132653889531209,-0.0485110324990983,2.261635666944128e-18,2.603446450425019e-13,2.668146008575905e-15,5.340161797438755e-15,2.611205213704319e-13,3.1738055912589104e-39,5.317352310163519e-17,2.3524778578879685e-12,1.786665697028238e-06,1.1010840500257092e-14,2.150394905349981e-14,5.050322842894133e-14,5.810628914133286e-15,3.307863058205709e-13,3.3180519124507107e-08,0.0038195234537787,3.9144443536367895e-05,7.834566072584682e-05,0.0038309063567429,4.656298919291648e-29,7.801102211016793e-07,0.0345132674084059,0.0002621222162164,0.0001615403440684,0.0003154850284909,0.0007409342544548,8.524789674515535e-05,0.0048529749980617,0.0007313340710057,0.0010729422286745
41825,5,697,0.4078,0.1089,0.3888,0.2126,0.4077683663669646,0.1108241421183353,0.3890869030459677,0.2121316879762932,13.057264952551748,13.67538473155511,-0.0068657144167143,-0.0456584090480979,1.924324817555545e-18,2.601877380342272e-13,2.5490865079256303e-15,4.858944948325212e-15,2.6261798063294986e-13,2.6936825238697232e-39,6.582019248528998e-17,2.360396359301973e-12,1.7955711018850352e-06,1.1048375654326703e-14,2.1824629591558486e-14,5.09511249956882e-14,5.783630714046486e-15,3.292493577547951e-13,2.8227251204733153e-08,0.003816603400258,3.739166306300357e-05,7.127417283978671e-05,0.0038522517833671,3.9512691710569555e-29,9.654935022800753e-07,0.0346238329251455,0.0002633860774775,0.0001620647783335,0.0003201378978803,0.0007473843247752,8.483806660467187e-05,0.0048296442708396,0.000731265439159,0.001072667829265
41826,6,697,0.4078,0.1089,0.3888,0.2126,0.4077713593119111,0.1104914732813412,0.3890372673219777,0.2122142025815343,13.057264952551748,13.592131719593375,-0.002292553044738,-0.0422541664900916,1.6388303313332813e-18,2.599846665577878e-13,2.4435217814242607e-15,4.442814445649011e-15,2.6383241602804883e-13,2.2857858561510587e-39,7.756223362361841e-17,2.366713143697047e-12,1.802897529285352e-06,1.1078811037895832e-14,2.2093294172982262e-14,5.1323980815246446e-14,5.759677881143329e-15,3.278857757351787e-13,2.404097344516208e-08,0.0038138691634906,3.584546925739634e-05,6.517427830539034e-05,0.0038703140809842,3.3531547481396506e-29,1.1378063752187525e-06,0.034718717827029,0.0002644777241255,0.0001625216453916,0.0003240996266506,0.0007529018936789,8.449212852962171e-05,0.0048099507781765,0.000731113990707,0.0010725144452064
41827,7,697,0.4078,0.1089,0.3888,0.2126,0.4077743133785493,0.1102141674719506,0.3889958980390492,0.212282698118098,13.057264952551748,13.519931462120423,0.0008475722557237,-0.0386221593962991,1.405147297049241e-18,2.5980073134257217e-13,2.3274242985629024e-15,4.085981544966191e-15,2.6484464957878525e-13,1.9396423229675362e-39,8.80807566284181e-17,2.3720220930155032e-12,1.8091991623717688e-06,1.1105208146207628e-14,2.232107744827085e-14,5.1641592079386404e-14,5.7391269805234096e-15,3.267158582097247e-13,2.061544964392572e-08,0.0038116351972446,3.414652579879548e-05,5.994698702735639e-05,0.0038856364372386,2.845722916400849e-29,1.2922662319850236e-06,0.0348008369761009,0.0002654344801283,0.0001629287262719,0.0003274810043888,0.0007576534099161,8.420091154862823e-05,0.0047933724366198,0.0007309576282672,0.0010724156968939
41828,8,697,0.4078,0.1089,0.3888,0.2126,0.4077771145501891,0.1099862400485202,0.3889619000597372,0.2123387638861131,13.057264952551748,13.457118385481206,0.0029158441418032,-0.0349625410912514,1.230613686036796e-18,2.5965219049898265e-13,2.199547870374866e-15,3.781138123069328e-15,2.656995677224676e-13,1.6459928248121356e-39,9.736071024142202e-17,2.3765908277958965e-12,1.8147138041019492e-06,1.1128689071506401e-14,2.2515243977119016e-14,5.1914747036332826e-14,5.721742862629501e-15,3.2572621868541994e-13,1.8056959990065827e-08,0.0038099114843087,3.227426148628873e-05,5.548114780445018e-05,0.0038986454629799,2.415187391367361e-29,1.4285867851011004e-06,0.0348720365921992,0.0002662753951618,0.0001632927502646,0.0003303692005663,0.0007617520597785,8.395590193441742e-05,0.0047794245791828,0.0007308206538104,0.0010723429664008
41829,9,697,0.4078,0.1089,0.3888,0.2126,0.4077797161464252,0.1097993827892352,0.388934032166633,0.2123845365116614,13.057264952551748,13.402491491413276,0.0042003307871729,-0.0314036592088819,1.1342026910053969e-18,2.595374952312839e-13,2.0648603131348845e-15,3.5210705417216335e-15,2.664252324586541e-13,1.3968752335790248e-39,1.0551087441060116e-16,2.3805523253154346e-12,1.8195572331464288e-06,1.1149663619083957e-14,2.2681078846258405e-14,5.215030813353668e-14,5.707108299578099e-15,3.248931052443468e-13,1.6644012847122783e-08,0.0038086185469286,3.0301075682394783e-05,5.16704322752851e-05,0.00390969359093,2.0498637075977257e-29,1.5483337882442303e-06,0.0349337413850383,0.0002670134201296,0.0001636172669918,0.0003328366002809,0.0007652868446173,8.374974297927015e-05,0.004767688403944,0.0007307065704938,0.0010722853722024
